0001|आप अपना चेहरा हमेशा प्रकाश  की ओर रखते हैं।|Pawan
0002|आप एक सकारात्मक दृष्टिकोण अपनाते हैं ताकि आपके सपने सच हो सकें।|Pawan
0003|आपको जो काम करना पसंद है, वह आपके कार्य में दिखाई देता है।|Pawan
0004|आपका आशावाद आपको उपलब्धि और सफलता की ओर ले जाता है।|Pawan
0005|आप हर गिरावट के बाद उठते हैं और आगे बढ़ते रहते हैं।|Pawan
0006|आपका दृष्टिकोण सकारात्मक बदलाव के लिए एक शक्तिशाली उपकरण है।|Pawan
0007|आप खुद पर और अपनी क्षमता पर विश्वास करते हैं।|Pawan
0008|आप जो कुछ भी आपके पास है, उस पर ध्यान देते हैं और उसकी सराहना करते हैं।|Pawan
0009|आप नकारात्मकता के बजाय सकारात्मकता को चुनते हैं।|Pawan
0011|आपका हर दिन आपके लिए नई ताकत और नए विचार लेकर आता है।|Pawan
0012|आपका सकारात्मक दृष्टिकोण असाधारण परिणाम लाता है।|Pawan
0013|आपका आशावाद आपकी सफलता को कई गुना बढ़ा देता है।|Pawan
0014|आप अपने सकारात्मक दृष्टिकोण के ज़रिए अच्छे दिन को चुनते हैं।|Pawan
