TIMESTAMP: 2025-11-13 13:10:11.367466
DEVICE INFO: android AP3A.240905.015.A2.M536BXXSBFYG2
ADDITIONAL INFO: User initiated log sending from Home screen

[2025-11-13 12:17:38] EqualizerService: Initializing EqualizerService
[2025-11-13 12:17:38] EqualizerService: Loaded equalizer settings - Enabled: true, Preset: flat
[2025-11-13 12:17:38] EqualizerService: EqualizerService initialized successfully
[2025-11-13 12:18:15] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-skin-glows-with-improved-circulation--c865ecc7143b3ccd17421bf6b6a3f872.aac
[2025-11-13 12:18:16] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-skin-glows-with-improved-circulation--c865ecc7143b3ccd17421bf6b6a3f872.aac
[2025-11-13 12:18:16] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-skin-glows-with-improved-circulation--c865ecc7143b3ccd17421bf6b6a3f872.aac
[2025-11-13 12:18:16] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/blood-flow-nourishes-collagen-and-brings-d1fc993ca972286cd9c2c3eb3433873b.aac
[2025-11-13 12:18:18] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/blood-flow-nourishes-collagen-and-brings-d1fc993ca972286cd9c2c3eb3433873b.aac
[2025-11-13 12:18:18] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/blood-flow-nourishes-collagen-and-brings-d1fc993ca972286cd9c2c3eb3433873b.aac
[2025-11-13 12:18:18] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-face-looks-more-rested-and-youthful-e-1a96a4ebcc838271bd6064d5f5d240e4.aac
[2025-11-13 12:18:19] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-face-looks-more-rested-and-youthful-e-1a96a4ebcc838271bd6064d5f5d240e4.aac
[2025-11-13 12:18:19] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-face-looks-more-rested-and-youthful-e-1a96a4ebcc838271bd6064d5f5d240e4.aac
[2025-11-13 12:18:19] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-notice-clearer-eyes-and-brighter-skin--d21c4c9ff8309e115e74e21021eeaea0.aac
[2025-11-13 12:18:20] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-notice-clearer-eyes-and-brighter-skin--d21c4c9ff8309e115e74e21021eeaea0.aac
[2025-11-13 12:18:20] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-notice-clearer-eyes-and-brighter-skin--d21c4c9ff8309e115e74e21021eeaea0.aac
[2025-11-13 12:18:20] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-hair-receives-better-nutrients-and-lo-072b23bf9fb84a439d268b0f94462c9d.aac
[2025-11-13 12:18:21] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-hair-receives-better-nutrients-and-lo-072b23bf9fb84a439d268b0f94462c9d.aac
[2025-11-13 12:18:21] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-hair-receives-better-nutrients-and-lo-072b23bf9fb84a439d268b0f94462c9d.aac
[2025-11-13 12:18:21] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/be-calm-and-relaxed-be-positive-keep-smi-9b996c5ac02876cb7ddeae366d19b8d7.aac
[2025-11-13 12:18:22] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/be-calm-and-relaxed-be-positive-keep-smi-9b996c5ac02876cb7ddeae366d19b8d7.aac
[2025-11-13 12:18:22] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/be-calm-and-relaxed-be-positive-keep-smi-9b996c5ac02876cb7ddeae366d19b8d7.aac
[2025-11-13 12:18:22] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/you-are-not-missing-nicotine--you-are-be-6fe00122c21c81a473f7a35274cf35e5.aac
